,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.009376923243204752,0.0016861667887681578,0.004184881846110026,0.0008037723002536627,2,,1,"{'max_depth': 2, 'max_features': None, 'n_estimators': 1}",-4.010061449244199,-5.1696149148621675,-4.271367934779399,-4.483681432961922,0.4966211339572891,4524
1,0.008471330006917318,0.0006047376330617185,0.003641208012898763,0.0007768643296834507,2,,2,"{'max_depth': 2, 'max_features': None, 'n_estimators': 2}",-3.647257769975752,-2.8785303168239267,-3.6989032517195946,-3.408230446173091,0.37514751251610295,4463
2,0.01089326540629069,8.33181878176404e-05,0.004860242207845052,4.7485549078023625e-05,2,,3,"{'max_depth': 2, 'max_features': None, 'n_estimators': 3}",-2.982815641738317,-2.4781415910722533,-4.340011745229643,-3.266989659346738,0.7862172184785825,4453
3,0.009594440460205078,0.0020852584787174164,0.003754297892252604,0.0008349162274577536,2,,4,"{'max_depth': 2, 'max_features': None, 'n_estimators': 4}",-2.9437818949370507,-2.891089545321845,-3.4410211094091236,-3.091964183222673,0.2477561626761854,4423
4,0.013488292694091797,0.0036298577298112637,0.004429817199707031,0.0007788748065495866,2,,5,"{'max_depth': 2, 'max_features': None, 'n_estimators': 5}",-2.767073791724166,-3.365353932265109,-3.22408499159876,-3.1188375718626786,0.2553331760168137,4427
5,0.00999760627746582,0.00012601273371674277,0.003957192103068034,0.000998672265583361,2,,6,"{'max_depth': 2, 'max_features': None, 'n_estimators': 6}",-2.408263540867669,-3.2479660720502768,-3.152186048631973,-2.936138553849973,0.37530651936766146,4314
6,0.012948195139567057,0.002877877237355109,0.003937880198160808,0.0009004979640530338,2,,7,"{'max_depth': 2, 'max_features': None, 'n_estimators': 7}",-2.5384816914993875,-2.972140496792267,-3.068645975174613,-2.8597560544887557,0.23056631594853524,4232
7,0.017726023991902668,0.002407627547212648,0.004723151524861653,0.0009498562944669811,2,,8,"{'max_depth': 2, 'max_features': None, 'n_estimators': 8}",-2.608323293814539,-3.097161806403174,-3.1422390083147502,-2.949241369510821,0.24176688398177587,4330
8,0.017463286717732746,0.004607076140540199,0.004154682159423828,0.0009040888686884202,2,,9,"{'max_depth': 2, 'max_features': None, 'n_estimators': 9}",-2.639846400090478,-3.0691427045485513,-3.4233310517219855,-3.044106718787005,0.32034580302419596,4394
9,0.01796833674112956,0.002920728307618062,0.004124959309895833,0.0009432467023581981,2,,10,"{'max_depth': 2, 'max_features': None, 'n_estimators': 10}",-2.6295082319115486,-2.9262052909332863,-3.2877343379074953,-2.94781595358411,0.26915381873419836,4327
10,0.023118257522583008,0.0025805249640187037,0.0038549105326334634,3.085492198907122e-05,2,,15,"{'max_depth': 2, 'max_features': None, 'n_estimators': 15}",-2.7455774566433857,-2.857413265841724,-3.021298219038616,-2.8747629805079087,0.11322910153960794,4260
11,0.031003634134928387,0.00546589909000003,0.004844506581624349,0.0011522599541599536,2,,20,"{'max_depth': 2, 'max_features': None, 'n_estimators': 20}",-2.7241558099271694,-2.9239108395552256,-2.9775366634034652,-2.875201104295287,0.10902581638894529,4261
12,0.029065291086832683,0.00019429435280399188,0.004331747690836589,3.076821297343664e-05,2,,25,"{'max_depth': 2, 'max_features': None, 'n_estimators': 25}",-2.8357402938542497,-2.7424543991472516,-2.856542875032156,-2.8115791893445525,0.04961091486612931,3660
13,0.03600295384724935,0.002131017574696852,0.004754940668741862,5.786464703467821e-05,2,,30,"{'max_depth': 2, 'max_features': None, 'n_estimators': 30}",-2.776356317925973,-2.6970280373701274,-2.8618159164651136,-2.778400090587071,0.06728989042034786,3351
14,0.0548555850982666,0.011112869013746448,0.006936470667521159,0.001362989914669724,2,,35,"{'max_depth': 2, 'max_features': None, 'n_estimators': 35}",-2.879987710738604,-2.641699186659147,-2.8287670161802243,-2.7834846378593254,0.10241492572468552,3395
15,0.044165611267089844,0.0002451212011038128,0.005184570948282878,1.8898171466229945e-05,2,,40,"{'max_depth': 2, 'max_features': None, 'n_estimators': 40}",-2.9083997854924184,-2.743693402658252,-2.7340570234248935,-2.7953834038585215,0.08001142351521345,3510
16,0.049548943837483726,0.00028111322101044615,0.005590995152791341,5.611515537788503e-05,2,,45,"{'max_depth': 2, 'max_features': None, 'n_estimators': 45}",-2.7871861134609617,-2.8081390161281075,-2.825311137196785,-2.8068787555952848,0.01558996581506235,3619
17,0.054642279942830406,0.00031595858426839286,0.005806446075439453,9.595056905066671e-05,2,,50,"{'max_depth': 2, 'max_features': None, 'n_estimators': 50}",-2.8246433626459297,-2.731963078273996,-2.8733774740823983,-2.8099946383341083,0.058654051740902366,3643
18,0.06170241038004557,0.0033990473286735455,0.00603477160135905,2.9949988004912595e-05,2,,55,"{'max_depth': 2, 'max_features': None, 'n_estimators': 55}",-2.8333852746925268,-2.6967412670631408,-2.8216937012803576,-2.7839400810120085,0.061843340184587675,3400
19,0.07769656181335449,0.018489681560235505,0.007648944854736328,0.001810126432409505,2,,60,"{'max_depth': 2, 'max_features': None, 'n_estimators': 60}",-2.789596419441854,-2.584765211116112,-2.8155376827462018,-2.7299664377680557,0.10321751935073248,2824
20,0.11258284250895183,0.0008056739253651987,0.011721293131510416,0.001564131047685293,2,,65,"{'max_depth': 2, 'max_features': None, 'n_estimators': 65}",-2.8361958044462647,-2.5105770928539406,-2.838020131906659,-2.7282643430689553,0.15392993259337476,2821
