,0
GO_0006955_8,0.005021580225015597
GO_0048870_8,0.008032426766354923
GO_0001816_3,0.006104178257867279
GO_0012501_19,0.008189881567381482
GO_0012501_4,0.0007298724145150705
GO_0006955_15,0.0093397423963878
GO_0044255_10,0.0019335636824025298
GO_0031399_10,0.004175860325458689
GO_0048870_1,0.007147432812421191
GO_0006355_14,0.0015596570460500734
GO_0033554_1,0.004168944472304139
GO_0007155_9,0.003472369046760723
GO_0007165_1,0.0028870179444091364
GO_0009605_1,0.004681024997286927
GO_0051276_5,0.006947890637670252
GO_0012501_16,0.0034404982582342584
GO_0044255_13,0.002117376035361796
GO_0007165_2,0.01548047067392898
GO_0012501_25,0.005477996150345744
GO_0009605_12,0.00945101778106763
GO_0048870_6,0.005646690243678807
GO_0033554_9,0.01125751915106322
GO_0033554_19,0.013463304622882427
GO_0001944_9,0.010952954021438189
GO_0031399_5,0.0022070820868965568
GO_0007165_30,0.0058075242986180544
GO_0012501_7,0.00215680281899155
GO_0006954_3,0.005563579061988803
GO_0006355_23,0.005211403924089718
GO_0048870_14,0.005865607187382594
GO_0001944_4,0.004001226082077071
GO_0044255_12,0.00665469730763211
GO_0012501_9,0.0041817633494123
GO_0009605_22,0.0026231242846213284
GO_0051276_8,0.012636874504538926
GO_0031399_2,0.015494937940053442
GO_0033554_18,0.002759162622269324
GO_0007049_17,0.002795956938977763
GO_0006091_4,0.005851469237074522
GO_0012501_17,0.004804196361153257
GO_0007165_11,0.007828543791497928
GO_0009605_11,0.0173236611258202
GO_0051276_10,0.0038085095781792222
GO_0001816_5,0.004151063886714645
GO_0012501_8,0.016635032661921536
GO_0033554_20,0.013836479253058823
GO_0031399_21,0.03478736837067425
GO_0051276_9,0.011499111050990428
GO_0031399_9,0.020201693039396555
GO_0006396_8,0.00299288532677013
GO_0009451_1,0.01005579894485891
GO_0006412_1,0.004110855766280843
GO_0006091_3,0.005584300713736687
GO_0006955_11,0.004331611316728773
GO_0006355_4,0.013378962981652753
GO_0006396_4,0.009261409171058405
GO_0007165_9,0.006662410994620617
GO_0051276_3,0.018713968597332344
GO_0007049_1,0.010610174788635948
GO_0033554_3,0.0169752982252776
GO_0007165_26,0.009658061953185283
GO_0033554_2,0.003933137938495355
GO_0033554_8,0.0034782987599875337
GO_0007049_10,0.005183373047356265
GO_0006412_3,0.004837722088645125
GO_0033554_4,0.013727612541273184
GO_0048870_2,0.004255865062128375
GO_0007155_6,0.029715361997600352
GO_0007049_7,0.007069717064159133
GO_0051276_2,0.007171358008330234
GO_0007155_3,0.0037208716923678472
GO_0006355_22,0.006544675226479562
GO_0048870_5,0.01928657930828012
GO_0007049_14,0.0057086860298824135
GO_0032200_4,0.004930546252416425
GO_0033554_24,0.0052408779036397235
GO_0051276_11,0.010119307446371878
GO_0006955_2,0.0029447831876232436
GO_0009605_9,0.007565382594775973
GO_0001944_2,0.004939494747342823
GO_0033554_22,0.007387078707473944
GO_0009605_17,0.009601477461709975
GO_0006091_6,0.0054702595285193644
GO_0001944_1,0.010092803122482605
GO_0001837_3,0.009816369056768654
GO_0048870_23,0.009659534814068076
GO_0033554_25,0.004192326980597475
GO_0007165_31,0.003626499087819842
GO_0007155_1,0.00399501070695675
GO_0006954_10,0.0037482985891722385
GO_0007049_19,0.004049861836567811
GO_0007165_10,0.0033493098328376287
GO_0001816_2,0.005584272051644311
GO_0031399_22,0.005401919179027386
GO_0012501_6,0.004153582824621643
GO_0006955_9,0.006114843861761497
GO_0048870_13,0.008575692524136919
GO_0001816_4,0.00421540072439878
GO_0033554_6,0.00454210930594438
GO_0006396_9,0.005150472746346673
GO_0009605_7,0.014194724214532203
GO_0006355_24,0.0028013392401994683
GO_0006355_9,0.008886133867182762
GO_0009605_8,0.005198255948757272
GO_0012501_5,0.0037854927806934176
GO_0006954_9,0.0035536410611998305
GO_0009605_20,0.004002209428084574
GO_0048870_20,0.01589460105091224
GO_0044255_11,0.001365161472956131
GO_0006955_1,0.007366972645111683
GO_0007165_35,0.004245840592220773
GO_0031399_1,0.0026297857366951744
GO_0006955_10,0.007331456976196021
GO_0001944_6,0.0027677029094147912
GO_0033554_16,0.004001264731148293
GO_0012501_12,0.023876565548553483
GO_0001816_1,0.001896373721851835
GO_0044255_4,0.0037396958322017163
GO_0048870_15,0.010179815186030101
GO_0007049_20,0.00799721220919862
GO_0048870_22,0.003643525128713059
GO_0007155_10,0.01237623506217489
GO_0009605_21,0.005485402952682299
GO_0012501_26,0.0040178273320462315
GO_0031399_23,0.007066202414593496
GO_0006954_6,0.003704106443164313
GO_0007165_42,0.006074967325274336
GO_0044255_9,0.03089725064351581
GO_0006355_10,0.006626061413923403
GO_0009605_18,0.005022431950211212
GO_0006091_1,0.010028509980406006
GO_0033554_17,0.004801667625614116
GO_0033554_15,0.002656829785274367
GO_0006955_6,0.00356449516178476
GO_0033554_10,0.006517588713013719
