"","source_node","source_cluster","target_node","target_cluster","edge_values","edge_type"
"1","ABI1","1","ACOT4","2",0.0187790736014534,"Between cluster"
"2","ABI1","1","AJUBA","2",-0.118862106411595,"Between cluster"
"3","ABI1","1","ALPK1","2",0.302924448514211,"Between cluster"
"4","ABI1","1","ASCC2","2",0.0544401470540354,"Between cluster"
"5","ABI1","1","CRAT","2",-0.180284992848803,"Between cluster"
"6","ABI1","1","CROT","2",-0.1049231692087,"Between cluster"
"7","ABI1","1","DPY30","2",-0.133776940992448,"Between cluster"
"8","ABI1","1","DVL1","2",-0.0686122012890758,"Between cluster"
"9","ABI1","1","EGLN3","2",-0.168810633237934,"Between cluster"
"10","ABI1","1","HDAC6","2",0.00725467071391883,"Between cluster"
"11","ABI1","1","IDH1","2",-0.0165775389157808,"Between cluster"
"12","ABI1","1","IRF3","2",0.145256720098023,"Between cluster"
"13","ABI1","1","KDM2A","2",0.198043553188345,"Between cluster"
"14","ABI1","1","LGR4","2",-0.110645020225513,"Between cluster"
"15","ABI1","1","MYCBP2","2",0.226821338860679,"Between cluster"
"16","ABI1","1","N4BP1","2",0.132464999335479,"Between cluster"
"17","ABI1","1","NBR1","2",0.0471742529508927,"Between cluster"
"18","ABI1","1","NF1","2",0.0437090480671346,"Between cluster"
"19","ABI1","1","NOD1","2",0.222401660097585,"Between cluster"
"20","ABI1","1","OTUB2","2",-0.135678390134785,"Between cluster"
"21","ABI1","1","OTUD7B","2",-0.192184830433817,"Between cluster"
"22","ABI1","1","PEX13","2",0.0999309018131608,"Between cluster"
"23","ABI1","1","PHYH","2",0.0767861047161423,"Between cluster"
"24","ABI1","1","PSMB10","2",0.277518781122092,"Between cluster"
"25","ABI1","1","PSMB5","2",-0.278837806320776,"Between cluster"
"26","ABI1","1","PSMD5","2",-0.029819174904949,"Between cluster"
"27","ABI1","1","PSME1","2",0.248250240815057,"Between cluster"
"28","ABI1","1","RIOK3","2",0.116929888439616,"Between cluster"
"29","ABI1","1","RIPK2","2",0.197748954740985,"Between cluster"
"30","ABI1","1","RNF103","2",0.164836543905246,"Between cluster"
"31","ABI1","1","RNF128","2",-0.0519564316225228,"Between cluster"
"32","ABI1","1","RNF43","2",0.0514748956690708,"Between cluster"
"33","ABI1","1","SETD7","2",0.0595526882990901,"Between cluster"
"34","ABI1","1","SIAH2","2",0.305003057001107,"Between cluster"
"35","ABI1","1","SLC27A2","2",0.105708397032122,"Between cluster"
"36","ABI1","1","TAB3","2",0.134213902749752,"Between cluster"
"37","ABI1","1","TANK","2",0.174203106303957,"Between cluster"
"38","ABI1","1","TRAF7","2",0.111871608476934,"Between cluster"
"39","ABI1","1","TRIM56","2",0.166058940817132,"Between cluster"
"40","ABI1","1","TYSND1","2",0.199185028731027,"Between cluster"
"41","ABI1","1","UBC","2",-0.109234635339147,"Between cluster"
"42","ABI1","1","UBE2D1","2",0.176289919916388,"Between cluster"
"43","ABI1","1","USP3","2",0.230029909431286,"Between cluster"
"44","ABI1","1","USP43","2",0.135095923069238,"Between cluster"
"45","ABI1","1","ZC3H12A","2",0.117740484899247,"Between cluster"
"46","AKAP13","1","ACOT4","2",0.0555837103454016,"Between cluster"
"47","AKAP13","1","AJUBA","2",0.0147314446816679,"Between cluster"
"48","AKAP13","1","ALPK1","2",0.303148353468586,"Between cluster"
"49","AKAP13","1","ASCC2","2",0.12919904696149,"Between cluster"
"50","AKAP13","1","CRAT","2",-0.168095743064667,"Between cluster"
"51","AKAP13","1","CROT","2",-0.0213654689019932,"Between cluster"
"52","AKAP13","1","DPY30","2",-0.183485938315086,"Between cluster"
"53","AKAP13","1","DVL1","2",-0.0679788245994677,"Between cluster"
"54","AKAP13","1","EGLN3","2",0.0285438076977701,"Between cluster"
"55","AKAP13","1","HDAC6","2",0.103453074353064,"Between cluster"
"56","AKAP13","1","IDH1","2",0.0102673991510504,"Between cluster"
"57","AKAP13","1","IRF3","2",0.176144126467703,"Between cluster"
"58","AKAP13","1","KDM2A","2",0.269154739068508,"Between cluster"
"59","AKAP13","1","LGR4","2",-0.0413008140194722,"Between cluster"
"60","AKAP13","1","MYCBP2","2",0.266718414016924,"Between cluster"
"61","AKAP13","1","N4BP1","2",0.211184456623445,"Between cluster"
"62","AKAP13","1","NBR1","2",-0.00742453562439664,"Between cluster"
"63","AKAP13","1","NF1","2",0.106663489498591,"Between cluster"
"64","AKAP13","1","NOD1","2",0.168272747798503,"Between cluster"
"65","AKAP13","1","OTUB2","2",-0.0953130622864905,"Between cluster"
"66","AKAP13","1","OTUD7B","2",-0.14492467346378,"Between cluster"
"67","AKAP13","1","PEX13","2",0.0475000903370868,"Between cluster"
"68","AKAP13","1","PHYH","2",-0.180681491902738,"Between cluster"
"69","AKAP13","1","PSMB10","2",0.246554293858935,"Between cluster"
"70","AKAP13","1","PSMB5","2",-0.186702273145294,"Between cluster"
"71","AKAP13","1","PSMD5","2",-0.0612557439947675,"Between cluster"
"72","AKAP13","1","PSME1","2",0.255122374512134,"Between cluster"
"73","AKAP13","1","RIOK3","2",0.138926506101435,"Between cluster"
"74","AKAP13","1","RIPK2","2",0.0514975415385893,"Between cluster"
"75","AKAP13","1","RNF103","2",0.156167276866158,"Between cluster"
"76","AKAP13","1","RNF128","2",-0.0485334521758339,"Between cluster"
"77","AKAP13","1","RNF43","2",0.110478034112177,"Between cluster"
"78","AKAP13","1","SETD7","2",0.00423980088974283,"Between cluster"
"79","AKAP13","1","SIAH2","2",0.175329005087479,"Between cluster"
"80","AKAP13","1","SLC27A2","2",0.0665644331342962,"Between cluster"
"81","AKAP13","1","TAB3","2",0.0722288057967808,"Between cluster"
"82","AKAP13","1","TANK","2",0.0638205745981065,"Between cluster"
"83","AKAP13","1","TRAF7","2",0.159679899168531,"Between cluster"
"84","AKAP13","1","TRIM56","2",0.265601161083906,"Between cluster"
"85","AKAP13","1","TYSND1","2",0.16523176149098,"Between cluster"
"86","AKAP13","1","UBC","2",-0.11256848244177,"Between cluster"
"87","AKAP13","1","UBE2D1","2",-0.00859905762331055,"Between cluster"
"88","AKAP13","1","USP3","2",0.246129376627747,"Between cluster"
"89","AKAP13","1","USP43","2",0.0459224357056588,"Between cluster"
"90","AKAP13","1","ZC3H12A","2",0.26088517846596,"Between cluster"
"91","ARAP2","1","ACOT4","2",0.264469872795185,"Between cluster"
"92","ARAP2","1","AJUBA","2",0.164918444509103,"Between cluster"
"93","ARAP2","1","ALPK1","2",0.364429445391273,"Between cluster"
"94","ARAP2","1","ASCC2","2",0.0581638320966492,"Between cluster"
"95","ARAP2","1","CRAT","2",-0.256120357150229,"Between cluster"
"96","ARAP2","1","CROT","2",0.0796651994566076,"Between cluster"
"97","ARAP2","1","DPY30","2",0.106022433190503,"Between cluster"
"98","ARAP2","1","DVL1","2",0.0769203240155112,"Between cluster"
"99","ARAP2","1","EGLN3","2",0.146418807992129,"Between cluster"
"100","ARAP2","1","HDAC6","2",-0.0213597980645965,"Between cluster"
"101","ARAP2","1","IDH1","2",0.130676535902934,"Between cluster"
"102","ARAP2","1","IRF3","2",0.225256597209454,"Between cluster"
"103","ARAP2","1","KDM2A","2",0.305908063516097,"Between cluster"
"104","ARAP2","1","LGR4","2",0.0225805969371945,"Between cluster"
"105","ARAP2","1","MYCBP2","2",0.0517259722334624,"Between cluster"
"106","ARAP2","1","N4BP1","2",0.230051000020389,"Between cluster"
"107","ARAP2","1","NBR1","2",0.061086637866945,"Between cluster"
"108","ARAP2","1","NF1","2",0.13791572610259,"Between cluster"
"109","ARAP2","1","NOD1","2",0.243169882004726,"Between cluster"
"110","ARAP2","1","OTUB2","2",0.0301382492900125,"Between cluster"
"111","ARAP2","1","OTUD7B","2",-0.0577331519381838,"Between cluster"
"112","ARAP2","1","PEX13","2",0.257299070511812,"Between cluster"
"113","ARAP2","1","PHYH","2",-0.163192388277712,"Between cluster"
"114","ARAP2","1","PSMB10","2",0.264758514237498,"Between cluster"
